"target_id","comparator_id","outcome_id","analysis_id","log_relative_risk","log_likelihood"
1,2,4008,1,-2.3026,-1216.03573521528
1,2,4008,1,-2.28660972222222,-1199.69860603106
1,2,4008,1,-2.27061944444444,-1183.44911846337
1,2,4008,1,-2.25462916666667,-1167.28802539741
1,2,4008,1,-2.23863888888889,-1151.21607857971
1,2,4008,1,-2.22264861111111,-1135.2340294614
1,2,4008,1,-2.20665833333333,-1119.3426249253
1,2,4008,1,-2.19066805555556,-1103.54261079148
1,2,4008,1,-2.17467777777778,-1087.834731684
1,2,4008,1,-2.1586875,-1072.21972676048
1,2,4008,1,-2.14269722222222,-1056.69833452921
1,2,4008,1,-2.12670694444444,-1041.27129035184
1,2,4008,1,-2.11071666666667,-1025.93932295315
1,2,4008,1,-2.09472638888889,-1010.70316246122
1,2,4008,1,-2.07873611111111,-995.56352996273
1,2,4008,1,-2.06274583333333,-980.521146336867
1,2,4008,1,-2.04675555555556,-965.576725969409
1,2,4008,1,-2.03076527777778,-950.7309793773
1,2,4008,1,-2.014775,-935.984611617472
1,2,4008,1,-1.99878472222222,-921.338322666328
1,2,4008,1,-1.98279444444444,-906.792807921674
1,2,4008,1,-1.96680416666667,-892.348756491916
1,2,4008,1,-1.95081388888889,-878.00685133693
1,2,4008,1,-1.93482361111111,-863.76777015347
1,2,4008,1,-1.91883333333333,-849.632183314498
1,2,4008,1,-1.90284305555556,-835.600754529309
1,2,4008,1,-1.88685277777778,-821.674141549092
1,2,4008,1,-1.8708625,-807.852994636136
1,2,4008,1,-1.85487222222222,-794.137955997641
1,2,4008,1,-1.83888194444444,-780.52965992899
1,2,4008,1,-1.82289166666667,-767.028734497906
1,2,4008,1,-1.80690138888889,-753.63579887165
1,2,4008,1,-1.79091111111111,-740.351461262533
1,2,4008,1,-1.77492083333333,-727.176325998438
1,2,4008,1,-1.75893055555556,-714.110984710218
1,2,4008,1,-1.74294027777778,-701.156020871931
1,2,4008,1,-1.72695,-688.31200885919
1,2,4008,1,-1.71095972222222,-675.579513250063
1,2,4008,1,-1.69496944444444,-662.9590893651
1,2,4008,1,-1.67897916666667,-650.451281170817
1,2,4008,1,-1.66298888888889,-638.056622282702
1,2,4008,1,-1.64699861111111,-625.775637655228
1,2,4008,1,-1.63100833333333,-613.608839701337
