targetCohortDefinitionId,timeAtRiskId,outcomeCohortDefinitionId,subgroupCohortDefinitionId,random.te,random.te.lower,random.te.upper,seTE.random,tau2,se.tau2,tau,lower.predict,upper.predict,seTE.predict
104,5,308,72,-8.766212007154177,-9.18788845315618,-8.344535561152174,0.21514499721838415,0.3490575209331261,0.28536782101193603,0.5908109011630761,-10.304743497275137,-7.2276805170332175,0.6287645749891008
104,5,308,81,-8.996018748541815,-9.532587858493919,-8.45944963858971,0.27376478046764796,0.43192224066066814,0.38808227878075796,0.6572079128104501,-10.826138336053651,-7.165899161029978,0.7119476074018141
104,5,308,82,-8.638985948400451,-9.14897065024994,-8.129001246550963,0.2602010577093162,0.38895373681009116,0.35548159679905467,0.6236615563028486,-10.37609516737789,-6.901876729423012,0.6757649940942029
104,5,308,91,-8.886996740051739,-9.443453078872352,-8.330540401231126,0.2839115122573014,0.4283574696917199,0.3782813676427949,0.6544902365136701,-10.867758711297094,-6.9062347688063825,0.7134165799054208
104,5,308,92,-8.75467422362738,-9.443664659581643,-8.065683787673116,0.3515321921162493,0.6460696770367462,0.6184196024131986,0.8037845961678702,-11.190432534038337,-6.318915913216422,0.877293884129373
104,5,310,21,-10.0622048890489,-10.333620089851461,-9.790789688246338,0.13847968786337436,0.06843632947198097,0.07360795603572655,0.26160338199645083,-10.823083883437281,-9.301325894660518,0.2959948537098552
104,5,310,22,-9.775847730986108,-10.162591255683534,-9.389104206288682,0.19732175067909868,0.1989652547941067,0.17103500880508524,0.4460552149612273,-11.029651829283704,-8.522043632688511,0.4877510923464663
104,5,310,31,-10.087769345331573,-10.408413169484872,-9.767125521178274,0.16359679396279594,0.1496419396113192,0.12278965266887436,0.3868358044588417,-11.167431620271906,-9.00810707039124,0.4200069649496597
104,5,310,32,-9.982650942390327,-10.20579659107556,-9.759505293705095,0.11385191281338708,0.06739721422283103,0.055726026415268436,0.2596097344531422,-10.71135296070205,-9.253948924078605,0.28347746343245367
104,5,310,41,-8.62885890555571,-9.055206539720121,-8.202511271391298,0.21752830027867215,0.3235333049564681,0.25640835779157367,0.5687998812908351,-10.194281755914094,-7.063436055197324,0.6089760803008574
104,5,310,42,-8.656979674127623,-9.054656037088158,-8.259303311167088,0.2028998318833177,0.27957403204093817,0.20991876839673648,0.5287476071254963,-10.112806118743942,-7.201153229511304,0.5663412167759087
104,5,310,51,-7.09764541573487,-7.639848206826497,-6.555442624643242,0.2766391603970551,0.5345293165148577,0.40586961175818703,0.7311151185106609,-9.107075240663105,-5.088215590806634,0.781702335662396
104,5,310,52,-6.736839420122773,-7.201411642594753,-6.272267197650793,0.2370309996185981,0.3923816255225721,0.2817297610928212,0.6264037240650571,-8.458487099279282,-5.015191740966264,0.6697501924619089
104,5,310,61,-6.130756291726711,-6.712933973948866,-5.548578609504556,0.29703488779094817,0.6165561603273437,0.47487319377075127,0.7852109018138653,-8.288798989907988,-3.9727135935454334,0.8395152678137098
